# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.000000631    0.000000630    0.000000124
    0.030030030    0.000001263    0.000001260    0.000000248
    0.045045045    0.000001894    0.000001891    0.000000371
    0.060060060    0.000002526    0.000002521    0.000000495
    0.075075075    0.000003158    0.000003152    0.000000619
    0.090090090    0.000003790    0.000003783    0.000000743
    0.105105105    0.000004423    0.000004415    0.000000867
    0.120120120    0.000005056    0.000005047    0.000000991
    0.135135135    0.000005689    0.000005679    0.000001115
    0.150150150    0.000006324    0.000006312    0.000001239
    0.165165165    0.000006959    0.000006946    0.000001363
    0.180180180    0.000007594    0.000007580    0.000001487
    0.195195195    0.000008230    0.000008215    0.000001611
    0.210210210    0.000008868    0.000008851    0.000001735
    0.225225225    0.000009506    0.000009488    0.000001860
    0.240240240    0.000010145    0.000010126    0.000001984
    0.255255255    0.000010785    0.000010765    0.000002108
    0.270270270    0.000011426    0.000011405    0.000002233
    0.285285285    0.000012068    0.000012046    0.000002357
    0.300300300    0.000012712    0.000012688    0.000002482
    0.315315315    0.000013357    0.000013332    0.000002606
    0.330330330    0.000014003    0.000013977    0.000002731
    0.345345345    0.000014650    0.000014624    0.000002856
    0.360360360    0.000015300    0.000015272    0.000002981
    0.375375375    0.000015950    0.000015921    0.000003106
    0.390390390    0.000016603    0.000016572    0.000003231
    0.405405405    0.000017257    0.000017225    0.000003356
    0.420420420    0.000017913    0.000017880    0.000003481
    0.435435435    0.000018570    0.000018536    0.000003607
    0.450450450    0.000019230    0.000019195    0.000003732
    0.465465465    0.000019892    0.000019855    0.000003858
    0.480480480    0.000020555    0.000020518    0.000003984
    0.495495495    0.000021221    0.000021182    0.000004110
    0.510510511    0.000021889    0.000021849    0.000004236
    0.525525526    0.000022560    0.000022518    0.000004362
    0.540540541    0.000023232    0.000023190    0.000004488
    0.555555556    0.000023907    0.000023864    0.000004615
    0.570570571    0.000024585    0.000024540    0.000004741
    0.585585586    0.000025265    0.000025219    0.000004868
    0.600600601    0.000025948    0.000025901    0.000004995
    0.615615616    0.000026634    0.000026585    0.000005122
    0.630630631    0.000027322    0.000027273    0.000005249
    0.645645646    0.000028013    0.000027963    0.000005376
    0.660660661    0.000028708    0.000028656    0.000005504
    0.675675676    0.000029405    0.000029352    0.000005632
    0.690690691    0.000030105    0.000030051    0.000005760
    0.705705706    0.000030809    0.000030754    0.000005888
    0.720720721    0.000031516    0.000031460    0.000006016
    0.735735736    0.000032227    0.000032169    0.000006145
    0.750750751    0.000032940    0.000032881    0.000006273
    0.765765766    0.000033658    0.000033598    0.000006402
    0.780780781    0.000034379    0.000034318    0.000006531
    0.795795796    0.000035104    0.000035041    0.000006661
    0.810810811    0.000035832    0.000035769    0.000006790
    0.825825826    0.000036565    0.000036500    0.000006920
    0.840840841    0.000037301    0.000037235    0.000007050
    0.855855856    0.000038042    0.000037975    0.000007180
    0.870870871    0.000038787    0.000038718    0.000007310
    0.885885886    0.000039536    0.000039466    0.000007441
    0.900900901    0.000040290    0.000040218    0.000007572
    0.915915916    0.000041048    0.000040975    0.000007703
    0.930930931    0.000041810    0.000041737    0.000007835
    0.945945946    0.000042577    0.000042503    0.000007966
    0.960960961    0.000043349    0.000043273    0.000008098
    0.975975976    0.000044126    0.000044049    0.000008230
    0.990990991    0.000044908    0.000044830    0.000008363
    1.006006006    0.000045695    0.000045615    0.000008496
    1.021021021    0.000046487    0.000046406    0.000008629
    1.036036036    0.000047285    0.000047203    0.000008762
    1.051051051    0.000048088    0.000048004    0.000008896
    1.066066066    0.000048896    0.000048811    0.000009029
    1.081081081    0.000049710    0.000049624    0.000009164
    1.096096096    0.000050530    0.000050443    0.000009298
    1.111111111    0.000051356    0.000051267    0.000009433
    1.126126126    0.000052188    0.000052098    0.000009568
    1.141141141    0.000053025    0.000052934    0.000009704
    1.156156156    0.000053870    0.000053777    0.000009839
    1.171171171    0.000054720    0.000054626    0.000009975
    1.186186186    0.000055577    0.000055482    0.000010112
    1.201201201    0.000056441    0.000056345    0.000010249
    1.216216216    0.000057311    0.000057214    0.000010386
    1.231231231    0.000058188    0.000058090    0.000010523
    1.246246246    0.000059072    0.000058973    0.000010661
    1.261261261    0.000059964    0.000059863    0.000010799
    1.276276276    0.000060863    0.000060760    0.000010938
    1.291291291    0.000061769    0.000061665    0.000011077
    1.306306306    0.000062682    0.000062577    0.000011216
    1.321321321    0.000063604    0.000063498    0.000011355
    1.336336336    0.000064533    0.000064426    0.000011496
    1.351351351    0.000065471    0.000065362    0.000011636
    1.366366366    0.000066417    0.000066306    0.000011777
    1.381381381    0.000067371    0.000067259    0.000011918
    1.396396396    0.000068333    0.000068220    0.000012060
    1.411411411    0.000069304    0.000069190    0.000012202
    1.426426426    0.000070284    0.000070169    0.000012344
    1.441441441    0.000071273    0.000071157    0.000012487
    1.456456456    0.000072272    0.000072154    0.000012630
    1.471471471    0.000073279    0.000073160    0.000012774
    1.486486486    0.000074297    0.000074176    0.000012918
    1.501501502    0.000075324    0.000075201    0.000013063
    1.516516517    0.000076360    0.000076237    0.000013208
    1.531531532    0.000077407    0.000077283    0.000013354
    1.546546547    0.000078465    0.000078339    0.000013500
    1.561561562    0.000079533    0.000079405    0.000013646
    1.576576577    0.000080611    0.000080482    0.000013793
    1.591591592    0.000081701    0.000081570    0.000013941
    1.606606607    0.000082801    0.000082670    0.000014089
    1.621621622    0.000083913    0.000083780    0.000014237
    1.636636637    0.000085037    0.000084902    0.000014386
    1.651651652    0.000086172    0.000086036    0.000014536
    1.666666667    0.000087319    0.000087182    0.000014686
    1.681681682    0.000088479    0.000088340    0.000014836
    1.696696697    0.000089651    0.000089511    0.000014987
    1.711711712    0.000090836    0.000090694    0.000015139
    1.726726727    0.000092034    0.000091891    0.000015291
    1.741741742    0.000093245    0.000093101    0.000015444
    1.756756757    0.000094469    0.000094324    0.000015597
    1.771771772    0.000095707    0.000095561    0.000015751
    1.786786787    0.000096960    0.000096811    0.000015905
    1.801801802    0.000098226    0.000098077    0.000016060
    1.816816817    0.000099508    0.000099356    0.000016216
    1.831831832    0.000100804    0.000100651    0.000016372
    1.846846847    0.000102115    0.000101961    0.000016528
    1.861861862    0.000103442    0.000103286    0.000016686
    1.876876877    0.000104784    0.000104627    0.000016844
    1.891891892    0.000106143    0.000105985    0.000017002
    1.906906907    0.000107518    0.000107358    0.000017161
    1.921921922    0.000108910    0.000108748    0.000017321
    1.936936937    0.000110319    0.000110156    0.000017482
    1.951951952    0.000111745    0.000111581    0.000017643
    1.966966967    0.000113189    0.000113023    0.000017805
    1.981981982    0.000114651    0.000114484    0.000017967
    1.996996997    0.000116132    0.000115963    0.000018130
    2.012012012    0.000117632    0.000117462    0.000018294
    2.027027027    0.000119151    0.000118979    0.000018459
    2.042042042    0.000120690    0.000120516    0.000018624
    2.057057057    0.000122248    0.000122073    0.000018790
    2.072072072    0.000123828    0.000123651    0.000018956
    2.087087087    0.000125428    0.000125250    0.000019124
    2.102102102    0.000127049    0.000126870    0.000019292
    2.117117117    0.000128693    0.000128512    0.000019460
    2.132132132    0.000130358    0.000130176    0.000019630
    2.147147147    0.000132047    0.000131863    0.000019800
    2.162162162    0.000133758    0.000133573    0.000019971
    2.177177177    0.000135494    0.000135306    0.000020143
    2.192192192    0.000137253    0.000137064    0.000020316
    2.207207207    0.000139037    0.000138847    0.000020489
    2.222222222    0.000140847    0.000140655    0.000020664
    2.237237237    0.000142682    0.000142489    0.000020839
    2.252252252    0.000144544    0.000144349    0.000021015
    2.267267267    0.000146433    0.000146236    0.000021191
    2.282282282    0.000148349    0.000148151    0.000021369
    2.297297297    0.000150294    0.000150093    0.000021547
    2.312312312    0.000152267    0.000152065    0.000021726
    2.327327327    0.000154269    0.000154066    0.000021907
    2.342342342    0.000156302    0.000156097    0.000022088
    2.357357357    0.000158366    0.000158159    0.000022270
    2.372372372    0.000160460    0.000160252    0.000022452
    2.387387387    0.000162587    0.000162377    0.000022636
    2.402402402    0.000164747    0.000164535    0.000022821
    2.417417417    0.000166941    0.000166727    0.000023006
    2.432432432    0.000169169    0.000168953    0.000023193
    2.447447447    0.000171432    0.000171215    0.000023380
    2.462462462    0.000173731    0.000173512    0.000023569
    2.477477477    0.000176067    0.000175846    0.000023758
    2.492492492    0.000178440    0.000178218    0.000023949
    2.507507508    0.000180853    0.000180628    0.000024140
    2.522522523    0.000183304    0.000183078    0.000024333
    2.537537538    0.000185796    0.000185569    0.000024526
    2.552552553    0.000188330    0.000188100    0.000024721
    2.567567568    0.000190906    0.000190674    0.000024916
    2.582582583    0.000193525    0.000193292    0.000025113
    2.597597598    0.000196189    0.000195954    0.000025311
    2.612612613    0.000198898    0.000198661    0.000025509
    2.627627628    0.000201654    0.000201415    0.000025709
    2.642642643    0.000204458    0.000204217    0.000025910
    2.657657658    0.000207311    0.000207068    0.000026112
    2.672672673    0.000210214    0.000209969    0.000026316
    2.687687688    0.000213168    0.000212922    0.000026520
    2.702702703    0.000216175    0.000215927    0.000026726
    2.717717718    0.000219237    0.000218986    0.000026932
    2.732732733    0.000222354    0.000222101    0.000027140
    2.747747748    0.000225527    0.000225273    0.000027350
    2.762762763    0.000228760    0.000228503    0.000027560
    2.777777778    0.000232052    0.000231793    0.000027772
    2.792792793    0.000235405    0.000235145    0.000027985
    2.807807808    0.000238822    0.000238560    0.000028199
    2.822822823    0.000242304    0.000242039    0.000028414
    2.837837838    0.000245852    0.000245585    0.000028631
